id_zamowienia	id_klienta	id_ksiazki	data_zamowienia
1	2	20	2023-03-28
2	3	25	2023-05-01
3	9	6	2023-03-17
4	15	10	2023-03-20
5	3	19	2021-05-11
6	11	17	2021-06-08
7	19	14	2023-06-15
8	7	17	2023-03-26
9	1	14	2023-03-05
10	16	26	2021-10-12
11	14	27	2022-04-23
12	11	1	2023-07-09
13	2	18	2021-01-04
14	17	1	2023-03-31
15	13	24	2023-03-02
16	2	27	2023-03-26
17	1	13	2021-05-06
18	1	26	2021-02-15
19	7	18	2021-12-20
20	7	8	2023-03-25
21	2	17	2021-12-24
22	7	17	2023-03-16
23	14	13	2021-07-24
24	6	1	2021-06-10
25	7	16	2023-03-28
26	7	4	2023-10-27
27	16	14	2023-03-29
28	7	16	2023-03-09
29	7	15	2023-07-25
30	19	23	2023-03-12
31	20	6	2021-06-25
32	6	5	2023-03-23
33	15	21	2023-03-09
34	7	6	2023-03-26
35	16	12	2023-03-12
36	15	2	2022-12-03
37	7	15	2022-02-14
38	7	10	2023-03-31
39	15	14	2021-12-07
40	6	4	2022-12-14
41	17	4	2023-03-23
42	7	25	2021-02-18
43	14	20	2023-03-06
44	9	21	2022-04-21
45	7	6	2023-03-04
46	14	19	2021-11-24
47	20	8	2022-10-01
48	9	10	2022-10-25
49	11	8	2023-01-18
50	9	1	2022-06-27
51	17	6	2022-08-04
52	7	8	2023-02-24
53	12	9	2022-09-26
54	7	19	2021-03-19
55	7	10	2022-08-23
56	5	18	2023-03-18
57	4	3	2023-01-08
58	6	26	2021-05-12
59	10	27	2023-03-07
60	14	21	2022-05-01
61	3	10	2022-09-13
62	7	22	2023-04-14
63	10	5	2021-02-11
64	7	8	2023-03-14
65	1	1	2023-03-11
66	3	9	2023-03-17
67	9	12	2023-03-24
68	19	2	2023-03-05
69	5	2	2021-02-15
70	20	8	2021-12-08
71	12	2	2023-03-11
72	3	20	2022-09-27
73	3	25	2021-12-11
74	8	12	2022-07-17
75	18	12	2023-02-11
76	16	6	2023-03-13
77	17	15	2023-07-08
78	9	16	2023-03-22
79	7	12	2022-06-12
80	8	15	2023-03-08
81	15	26	2023-11-18
82	10	11	2023-08-19
83	7	13	2023-03-28
84	15	19	2021-02-04
85	16	4	2021-10-08
86	6	2	2022-06-01
87	20	26	2023-03-15
88	7	6	2021-04-27
89	7	16	2022-09-02
90	7	16	2021-05-28
91	7	12	2023-03-17
92	12	10	2021-07-26
93	13	8	2022-12-02
94	17	14	2021-11-09
95	15	27	2023-02-14
96	20	26	2023-06-21
97	7	21	2022-06-14
98	20	2	2022-09-25
99	6	18	2023-07-04
100	20	24	2021-09-09
101	3	19	2021-09-28
102	7	10	2023-03-16
103	16	2	2021-07-27
104	7	14	2023-03-24
105	2	23	2023-08-22
106	2	20	2023-11-24
107	7	2	2022-05-25
108	11	25	2023-03-07
109	18	11	2023-03-31
110	12	22	2022-08-27
111	17	16	2021-04-23
112	7	5	2021-12-17
113	4	6	2022-03-02
114	7	27	2022-06-27
115	18	9	2021-12-01
116	12	2	2022-03-15
117	8	4	2023-03-31
118	18	16	2022-06-10
119	11	18	2023-05-15
120	6	10	2022-10-13
121	5	25	2021-08-14
122	17	11	2023-03-08
123	7	1	2023-09-20
124	17	4	2023-03-27
125	19	24	2022-05-28
126	7	12	2021-11-10
127	2	6	2022-08-26
128	5	21	2023-03-16
129	19	11	2021-11-02
130	7	21	2023-09-27
131	5	12	2023-02-01
132	10	2	2023-03-12
133	4	26	2023-03-05
134	7	23	2022-07-01
135	7	2	2023-03-17
136	10	3	2023-04-08
137	4	16	2022-09-11
138	1	14	2023-03-03
139	6	27	2021-02-14
140	7	12	2023-03-12
141	7	23	2021-08-25
142	16	17	2023-03-10
143	5	2	2023-11-02
144	4	15	2021-02-25
145	2	26	2022-09-13
146	8	25	2023-02-02
147	7	27	2022-11-27
148	4	13	2021-12-15
149	16	4	2023-03-07
150	4	27	2023-03-02
