(634, -70)
(552, 928)
(231, -293)
(811, 188)
(-761, -686)
(-343, 779)
(772, -994)
(-945, -89)
(472, 385)
(189, -381)
(965, -605)
(839, -92)
(295, -704)
(-291, 422)
(-840, 57)
(540, 252)
(-170, -50)
(-638, 845)
(57, 479)
(-241, 172)
(-10, 736)
(-810, -110)
(826, 183)
(-423, -39)
(735, 163)
(-654, -389)
(487, 293)
(-683, 319)
(-153, 616)
(-234, 604)
(555, 143)
(-363, -890)
(653, -890)
(-503, 876)
(163, 758)
(10, 791)
(-313, 909)
(-905, 840)
(579, 722)
(-498, 263)
(-501, -551)
(-147, 868)
(22, -597)
(566, 311)
(374, 466)
(-713, -917)
(160, -14)
(25, 223)
(-434, -957)
(-445, -524)
(131, 902)
(-380, 322)
(-349, -994)
(-865, -105)
(-531, 995)
(477, -85)
(-170, -948)
(355, -257)
(690, -711)
(579, -613)
(719, 680)
(-470, 669)
(-222, 681)
(-889, -170)
(-93, -905)
(471, -81)
(169, 996)
(213, 710)
(874, -295)
(951, 128)
(397, -106)
(-389, -89)
(-852, -422)
(-542, -744)
(431, 792)
(629, -123)
(-83, -542)
(-222, 460)
(-808, -677)
(911, -181)
(906, -850)
(-502, -466)
(14, -68)
(657, 115)
(-485, -148)
(-216, -176)
(96, -988)
(-871, -265)
(538, 767)
(-449, 900)
(-111, 13)
(-231, 501)
(-746, 209)
(109, 775)
(-968, 69)
(318, 895)
(836, 830)
(-623, 968)
(72, -989)
(817, -276)
(-105, 847)
(197, -979)
(-275, -284)
(167, 494)
(-161, 493)
(175, 660)
(910, -708)
(-445, 292)
(-532, -833)
(-920, -260)
(602, -732)
(623, 28)
(557, -167)
(696, 243)
(-437, 308)
(633, -469)
(-665, 447)
(-842, 363)
(-923, 477)
(-440, -583)
(-344, 369)
(727, -489)
(-938, 127)
(531, -630)
(-70, -22)
(-480, 335)
(872, 274)
(662, 513)
(-576, 635)
(-991, -949)
(38, 241)
(294, -40)
(945, -521)
(-502, -817)
(-129, -576)
(-654, -679)
(-745, 347)
(-596, -834)
(280, -594)
(986, -155)
(-562, -582)
(772, -343)
(478, 179)
(-657, 83)
(-186, -782)
(465, -476)
(247, -586)
(-941, -819)
(26, -832)
(869, -527)
(9, 308)
(-846, 242)
(551, -770)
(-247, 691)
(93, -683)
(-861, -143)
(372, 225)
(-663, -907)
(971, 393)
(-837, 839)
(212, -269)
(43, -886)
(-511, -362)
(713, 868)
(-887, -895)
(219, -606)
(876, 607)
(-255, 22)
(-706, -60)
(998, 178)
(862, -247)
(931, -398)
(-166, 422)
(-392, -274)
(35, -817)
(758, 243)
(-912, -276)
(429, -479)
(86, 640)
